"id","name","latitude","longitude","property_type","room_type","price","accommodates","bedrooms","beds","bathrooms","shared_bathroom","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","Kitchen","Wifi","Air_conditioning","Elevator","Dishes_and_silverware","Washer","Body_soap","Microwave","Paid_parking_off_premises","total_amenities","short_term_availability","long_term_availability","years","host_id","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified"
40891652,"NEW, SPACIOUS AND BRIGHT YOUR PLACE IN SAN TELMO",-34.611771,-58.374825,"Entire condo","Entire home/apt",12217,6,2,3,1,"No",5,90,30,4.73,4.8,4.7,4.83,4.8,4.8,4.7,"FALSE","1","1","1","1","1","0","0","1","0",6,"0","0",4.27945205479452,238668912,"within an hour",1,1,"TRUE","TRUE"
40796039,"Espacio natural en la ciudad",-34.61592,-58.38938,"Entire loft","Entire home/apt",8046,4,1,3,1,"No",1,365,2,5,5,5,5,5,4.5,5,"TRUE","1","1","1","0","0","0","0","0","0",3,"1","1",3.43287671232877,313176285,"within an hour",1,0.67,"FALSE","FALSE"
41468505,"Cama Matrimonial con jóvenes cerca de UADE & UCA!",-34.61602,-58.37894,"Private room in rental unit","Private room",3313,2,1,1,1,"Yes",12,1125,3,5,5,4.67,4.67,4.67,5,4.67,"TRUE","1","1","0","1","0","1","0","0","0",4,"1","1",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
41644664,"Charming Loft + Balcony + Pool + Gym @San Telmo",-34.61217,-58.37418,"Entire loft","Entire home/apt",14348,2,1,1,1,"No",3,1125,89,4.85,4.87,4.89,4.85,4.89,4.84,4.78,"TRUE","1","1","0","1","1","0","0","1","0",5,"0","1",3.65479452054795,293311435,"within an hour",1,0.99,"FALSE","TRUE"
41615566,"18m2/Aire acondicionado/Terraza propia/ Cowork",-34.6174,-58.37868,"Private room in rental unit","Private room",4142,2,4,1,1,"Yes",28,180,5,4.6,4.2,3.8,4.2,4.4,4.4,3.8,"FALSE","1","1","0","1","1","1","0","0","0",5,"1","1",10.4630136986301,4191868,"within an hour",1,0.99,"FALSE","TRUE"
42067256,"Brooklyn - Wifi/ Pool/ Barbacue  | Welcome2BA Team",-34.61337,-58.38054,"Entire rental unit","Entire home/apt",6981,2,1,1,1,"No",4,1125,31,4.61,4.84,4.87,4.52,4.61,4.45,4.71,"TRUE","1","1","1","0","1","0","0","1","0",5,"0","1",10.9068493150685,2597734,"within an hour",1,0.99,"FALSE","TRUE"
41856980,"Disfrutá Buenos Aires en el Casco Histórico.",-34.6093444824219,-58.3770294189453,"Entire rental unit","Entire home/apt",5502,2,1,1,1,"No",2,1125,31,4.68,4.84,4.77,4.61,4.65,4.77,4.81,"TRUE","1","1","1","0","1","0","0","0","0",4,"1","0",5.16438356164384,177200256,"within an hour",1,1,"FALSE","TRUE"
42138986,"Loft moderno en edificio historico c/piscina y gym",-34.61227,-58.37266,"Entire loft","Entire home/apt",14495,4,1,1,1,"No",3,1125,37,4.97,5,4.97,5,4.97,4.95,5,"FALSE","1","1","1","0","1","1","0","1","0",6,"0","1",7.77808219178082,39749868,"within a day",1,0.9,"TRUE","TRUE"
42295645,"Acogedor departamento para turismo en CABA.",-34.61663,-58.3869,"Entire rental unit","Entire home/apt",12000,2,1,4,1,"No",2,1125,4,5,5,5,5,5,5,5,"FALSE","1","1","0","1","1","0","0","1","0",5,"0","0",5.14246575342466,178646465,"within a few hours",1,1,"FALSE","FALSE"
42316260,"A estrenar! Centro de BA, c/Pileta y parrilla 3pax",-34.61261,-58.37805,"Entire rental unit","Entire home/apt",7248,3,1,2,1,"No",4,1125,73,4.79,4.86,4.58,4.88,4.89,4.82,4.78,"FALSE","1","1","0","1","1","0","0","1","0",5,"0","0",6.65479452054795,94350422,"within an hour",0.96,1,"TRUE","TRUE"
42435026,"Departamento luminoso en el centro de CABA.",-34.6115425,-58.3914557,"Entire serviced apartment","Entire home/apt",4763,3,2,2,1,"No",2,30,7,5,5,4.86,4.71,5,4.71,4.57,"FALSE","1","1","1","0","1","1","0","0","0",5,"0","1",7.16438356164384,61967765,"within an hour",1,0.89,"FALSE","TRUE"
43213220,"San Telmo, charming,bright,comfortable and unique",-34.61581,-58.37615,"Entire condo","Entire home/apt",8697,2,1,1,1,"No",2,33,36,4.81,4.83,4.83,4.89,4.97,4.64,4.67,"FALSE","1","1","1","0","1","0","0","1","1",6,"1","1",4.89315068493151,195592732,"within an hour",1,0.98,"TRUE","TRUE"
42873003,"El Candil - 6°",-34.61522,-58.3804,"Entire rental unit","Entire home/apt",11000,3,1,2,1.5,"No",3,1125,11,4.27,4.27,4.64,4.55,4.45,4.73,4.18,"FALSE","1","1","1","0","0","1","0","0","0",4,"1","1",5.72328767123288,146222693,"a few days or more",0,0.22,"FALSE","TRUE"
